"4 ", Porsche 911 II GT3 R 2019, no,"0", "01:45.3180", "37.4610", "38.4540", "29.4030",     
"5 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"6 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"7 ", Porsche 911 II GT3 R 2019, no,"0", "01:45.6930", "37.8540", "38.5320", "29.3070",     
"8 ", Porsche 911 II GT3 R 2019, no,"0", "01:45.9240", "37.4940", "38.1000", "30.3300",     
"9 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"10 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"11 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"12 ", Porsche 911 II GT3 R 2019, no,"0", "01:44.7570", "37.3950", "38.0190", "29.3430",     
Average,,,"01:45.4231", "37.5510", "38.2763", "29.5958"
Best possible,,, "01:44.7210", "37.3950", "38.0190", "29.3070"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Hamza Gulzar"
"1 ", AMR V8 Vantage 2019, no,"0", "-", "-", "-", "-",     
"2 ", AMR V8 Vantage 2019, no,"0", "01:45.6030", "37.9980", "38.1960", "29.4090",     
"3 ", AMR V8 Vantage 2019, no,"0", "01:45.2790", "37.6200", "38.2410", "29.4180",     
"4 ", AMR V8 Vantage 2019, no,"0", "01:45.4770", "37.5150", "38.1540", "29.8080",     
"5 ", AMR V8 Vantage 2019, no,"0", "-", "-", "-", "-",     
"6 ", AMR V8 Vantage 2019, no,"0", "-", "-", "-", "-",     
"7 ", AMR V8 Vantage 2019, no,"0", "01:44.9700", "37.4760", "38.3310", "29.1630",     
Average,,,"01:45.3323", "37.6523", "38.2305", "29.4495"
Best possible,,, "01:44.7930", "37.4760", "38.1540", "29.1630"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Tim Winfree"
"1 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"2 ", Porsche 911 II GT3 R 2019, no,"0", "01:45.4920", "37.3770", "38.7810", "29.3340",     
"3 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"4 ", Porsche 911 II GT3 R 2019, no,"0", "01:45.9780", "37.4340", "39.1590", "29.3850",     
"5 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"6 ", Porsche 911 II GT3 R 2019, no,"0", "01:45.9000", "37.7100", "38.8920", "29.2980",     
"7 ", Porsche 911 II GT3 R 2019, no,"0", "01:46.0170", "37.6980", "38.6670", "29.6520",     
"8 ", Porsche 911 II GT3 R 2019, no,"0", "01:47.3700", "37.5420", "39.4050", "30.4230",     
"9 ", Porsche 911 II GT3 R 2019, no,"0", "01:46.2660", "37.5870", "39.0720", "29.6070",     
"10 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"11 ", Porsche 911 II GT3 R 2019, no,"0", "01:45.4860", "37.6440", "38.6640", "29.1780",     
"12 ", Porsche 911 II GT3 R 2019, no,"0", "01:45.0570", "37.3440", "38.4120", "29.3010",     
Average,,,"01:45.9458", "37.5420", "38.8815", "29.5223"
Best possible,,, "01:44.9340", "37.3440", "38.4120", "29.1780"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Chris B"
"1 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"2 ", Porsche 911 II GT3 R 2019, no,"0", "01:45.8880", "37.6740", "38.4870", "29.7270",     
"3 ", Porsche 911 II GT3 R 2019, no,"0", "01:45.3360", "37.4070", "38.3940", "29.5350",     
"4 ", Porsche 911 II GT3 R 2019, no,"0", "01:45.4200", "37.2840", "38.6940", "29.4420",     
"5 ", Porsche 911 II GT3 R 2019, no,"0", "01:45.0810", "37.4460", "38.2980", "29.3370",     
"6 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"7 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"8 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"9 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"10 ", Porsche 911 II GT3 R 2019, no,"0", "01:46.0650", "37.4700", "39.1650", "29.4300",     
"11 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"12 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
Average,,,"01:45.5580", "37.4562", "38.6076", "29.4942"
Best possible,,, "01:44.9190", "37.2840", "38.2980", "29.3370"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Matheus Freitas"
"1 ", Ferrari 488 GT3, no,"0", "-", "-", "-", "-",     
"2 ", Ferrari 488 GT3, no,"0", "01:47.8830", "37.7640", "38.7510", "31.3680",     
"3 ", Ferrari 488 GT3, no,"0", "01:46.7100", "38.7120", "38.3340", "29.6640",     
"4 ", Ferrari 488 GT3, no,"0", "-", "-", "-", "-",     
"5 ", Ferrari 488 GT3, no,"0", "01:45.0960", "37.4910", "38.2710", "29.3340",     
Average,,,"01:46.5630", "37.9890", "38.4520", "30.1220"
Best possible,,, "01:45.0960", "37.4910", "38.2710", "29.3340"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Drake Burgoon"
"1 ", AMR V8 Vantage 2019, no,"0", "-", "-", "-", "-",     
"2 ", AMR V8 Vantage 2019, no,"0", "01:46.9050", "38.2920", "38.8380", "29.7750",     
"3 ", AMR V8 Vantage 2019, no,"0", "01:46.7730", "37.7520", "39.1170", "29.9040",     
"4 ", AMR V8 Vantage 2019, no,"0", "-", "-", "-", "-",     
"5 ", AMR V8 Vantage 2019, no,"0", "-", "-", "-", "-",     
"6 ", AMR V8 Vantage 2019, no,"0", "01:46.7670", "37.9110", "39.1740", "29.6820",     
"7 ", AMR V8 Vantage 2019, no,"0", "-", "-", "-", "-",     
"8 ", AMR V8 Vantage 2019, no,"0", "01:46.5360", "37.6530", "38.7840", "30.0990",     
"9 ", AMR V8 Vantage 2019, no,"0", "-", "-", "-", "-",     
"10 ", AMR V8 Vantage 2019, no,"0", "01:45.2100", "37.4460", "38.5050", "29.2590",     
"11 ", AMR V8 Vantage 2019, no,"0", "-", "-", "-", "-",     
Average,,,"01:46.4382", "37.8108", "38.8836", "29.7438"
Best possible,,, "01:45.2100", "37.4460", "38.5050", "29.2590"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Keith Briscoe"
"1 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
"2 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
"3 ", Lexus RC F GT3, no,"0", "01:46.6410", "37.5480", "39.2610", "29.8320",     
"4 ", Lexus RC F GT3, no,"0", "01:46.3230", "37.4220", "39.1440", "29.7570",     
"5 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
"6 ", Lexus RC F GT3, no,"0", "01:48.4590", "38.1390", "40.5660", "29.7540",     
"7 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
"8 ", Lexus RC F GT3, no,"0", "01:45.8730", "37.3050", "38.9760", "29.5920",     
"9 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
"10 ", Lexus RC F GT3, no,"0", "01:45.3300", "37.2180", "38.6670", "29.4450",     
"11 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
Average,,,"01:46.5252", "37.5264", "39.3228", "29.6760"
Best possible,,, "01:45.3300", "37.2180", "38.6670", "29.4450"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"JT Tami"
"1 ", Jaguar G3, no,"0", "-", "-", "-", "-",     
"2 ", Jaguar G3, no,"0", "01:46.6080", "37.8240", "39.1170", "29.6670",     
"3 ", Jaguar G3, no,"0", "01:46.2930", "37.4280", "39.2400", "29.6250",     
"4 ", Jaguar G3, no,"0", "01:47.6310", "38.3310", "39.5790", "29.7210",     
"5 ", Jaguar G3, no,"0", "01:46.5690", "37.7190", "39.3030", "29.5470",     
"6 ", Jaguar G3, no,"0", "01:45.9270", "37.6380", "38.6820", "29.6070",     
"7 ", Jaguar G3, no,"0", "01:45.5550", "37.1610", "38.8080", "29.5860",     
"8 ", Jaguar G3, no,"0", "-", "-", "-", "-",     
"9 ", Jaguar G3, no,"0", "-", "-", "-", "-",     
"10 ", Jaguar G3, no,"0", "01:45.9480", "37.6920", "38.5830", "29.6730",     
"11 ", Jaguar G3, no,"0", "01:45.3780", "37.2930", "38.6280", "29.4570",     
"12 ", Jaguar G3, no,"0", "-", "-", "-", "-",     
Average,,,"01:46.2387", "37.6358", "38.9925", "29.6104"
Best possible,,, "01:45.2010", "37.1610", "38.5830", "29.4570"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Bruno Mancebo"
"1 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"2 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"3 ", Porsche 911 II GT3 R 2019, no,"0", "01:46.2330", "37.6050", "38.9130", "29.7150",     
"4 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"5 ", Porsche 911 II GT3 R 2019, no,"0", "01:45.8580", "37.4940", "39.0150", "29.3490",     
"6 ", Porsche 911 II GT3 R 2019, no,"0", "01:45.4320", "37.4130", "38.4960", "29.5230",     
"7 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"8 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"9 ", Porsche 911 II GT3 R 2019, no,"0", "01:46.0710", "37.4790", "38.8230", "29.7690",     
Average,,,"01:45.8986", "37.4978", "38.8118", "29.5890"
Best possible,,, "01:45.2580", "37.4130", "38.4960", "29.3490"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Dirk Groeneveld"
"1 ", McLaren 720S GT3 2019, no,"0", "-", "-", "-", "-",     
"2 ", McLaren 720S GT3 2019, no,"0", "01:47.6250", "38.3820", "39.2940", "29.9490",     
"3 ", McLaren 720S GT3 2019, no,"0", "01:47.2320", "37.9950", "39.3690", "29.8680",     
"4 ", McLaren 720S GT3 2019, no,"0", "01:47.2530", "38.0790", "39.0480", "30.1260",     
"5 ", McLaren 720S GT3 2019, no,"0", "01:46.8570", "37.8270", "39.1410", "29.8890",     
"6 ", McLaren 720S GT3 2019, no,"0", "01:46.5780", "37.9950", "38.8410", "29.7420",     
"7 ", McLaren 720S GT3 2019, no,"0", "-", "-", "-", "-",     
"8 ", McLaren 720S GT3 2019, no,"0", "01:45.5910", "37.4550", "38.6670", "29.4690",     
"9 ", McLaren 720S GT3 2019, no,"0", "-", "-", "-", "-",     
"10 ", McLaren 720S GT3 2019, no,"0", "01:45.4590", "37.6140", "38.5410", "29.3040",     
"11 ", McLaren 720S GT3 2019, no,"0", "-", "-", "-", "-",     
"12 ", McLaren 720S GT3 2019, no,"0", "01:45.4830", "37.7160", "38.3430", "29.4240",     
"13 ", McLaren 720S GT3 2019, no,"0", "01:45.5940", "37.6020", "38.3820", "29.6100",     
Average,,,"01:46.4080", "37.8517", "38.8473", "29.7090"
Best possible,,, "01:45.1020", "37.4550", "38.3430", "29.3040"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Fabio Pittol"
"1 ", Lamborghini Huracan Evo 2019, no,"0", "-", "-", "-", "-",     
"2 ", Lamborghini Huracan Evo 2019, no,"0", "-", "-", "-", "-",     
"3 ", Lamborghini Huracan Evo 2019, no,"0", "01:45.8460", "37.3290", "38.8050", "29.7120",     
"4 ", Lamborghini Huracan Evo 2019, no,"0", "-", "-", "-", "-",     
"5 ", Lamborghini Huracan Evo 2019, no,"0", "01:46.4250", "37.8690", "39.0210", "29.5350",     
"6 ", Lamborghini Huracan Evo 2019, no,"0", "01:46.9950", "37.9230", "39.1020", "29.9700",     
"7 ", Lamborghini Huracan Evo 2019, no,"0", "01:46.6020", "37.6590", "39.2430", "29.7000",     
"8 ", Lamborghini Huracan Evo 2019, no,"0", "02:02.5980", "53.4240", "39.4170", "29.7570",     
"9 ", Lamborghini Huracan Evo 2019, no,"0", "01:47.1060", "37.8600", "39.3960", "29.8500",     
"10 ", Lamborghini Huracan Evo 2019, no,"0", "-", "-", "-", "-",     
"11 ", Lamborghini Huracan Evo 2019, no,"0", "-", "-", "-", "-",     
"12 ", Lamborghini Huracan Evo 2019, no,"0", "01:45.7230", "37.4820", "38.8950", "29.3460",     
"13 ", Lamborghini Huracan Evo 2019, no,"0", "01:45.6060", "37.5090", "38.7930", "29.3040",     
Average,,,"01:48.3627", "39.6319", "39.0840", "29.6468"
Best possible,,, "01:45.4260", "37.3290", "38.7930", "29.3040"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Jon Uyan"
"1 ", Audi R8 LMS Evo 2019, no,"0", "-", "-", "-", "-",     
"2 ", Audi R8 LMS Evo 2019, no,"0", "01:46.6200", "37.6080", "39.2670", "29.7450",     
"3 ", Audi R8 LMS Evo 2019, no,"0", "01:46.7370", "37.5780", "39.2310", "29.9280",     
"4 ", Audi R8 LMS Evo 2019, no,"0", "01:46.2840", "37.3770", "39.2850", "29.6220",     
"5 ", Audi R8 LMS Evo 2019, no,"0", "-", "-", "-", "-",     
"6 ", Audi R8 LMS Evo 2019, no,"0", "-", "-", "-", "-",     
"7 ", Audi R8 LMS Evo 2019, no,"0", "01:47.0790", "37.7580", "39.7470", "29.5740",     
"8 ", Audi R8 LMS Evo 2019, no,"0", "01:45.6720", "37.4010", "38.5950", "29.6760",     
"9 ", Audi R8 LMS Evo 2019, no,"0", "-", "-", "-", "-",     
"10 ", Audi R8 LMS Evo 2019, no,"0", "-", "-", "-", "-",     
Average,,,"01:46.4784", "37.5444", "39.2250", "29.7090"
Best possible,,, "01:45.5460", "37.3770", "38.5950", "29.5740"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Eric Andersen"
"1 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
"2 ", Lexus RC F GT3, no,"0", "01:47.8020", "37.8420", "39.8880", "30.0720",     
"3 ", Lexus RC F GT3, no,"0", "01:46.4760", "37.6620", "39.3120", "29.5020",     
"4 ", Lexus RC F GT3, no,"0", "01:46.7460", "37.8270", "39.2520", "29.6670",     
"5 ", Lexus RC F GT3, no,"0", "01:47.0820", "37.9890", "39.4290", "29.6640",     
"6 ", Lexus RC F GT3, no,"0", "01:46.7490", "37.9260", "39.2250", "29.5980",     
"7 ", Lexus RC F GT3, no,"0", "01:47.9910", "37.9650", "39.3390", "30.6870",     
"8 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
"9 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
"10 ", Lexus RC F GT3, no,"0", "01:46.5480", "37.6620", "39.1830", "29.7030",     
"11 ", Lexus RC F GT3, no,"0", "01:45.7860", "37.4130", "38.7630", "29.6100",     
"12 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
"13 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
"14 ", Lexus RC F GT3, no,"0", "01:45.8850", "37.4700", "38.6820", "29.7330",     
Average,,,"01:46.7850", "37.7507", "39.2303", "29.8040"
Best possible,,, "01:45.5970", "37.4130", "38.6820", "29.5020"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Matheus Nolli"
"1 ", Ferrari 488 GT3, no,"0", "-", "-", "-", "-",     
"2 ", Ferrari 488 GT3, no,"0", "-", "-", "-", "-",     
"3 ", Ferrari 488 GT3, no,"0", "-", "-", "-", "-",     
"4 ", Ferrari 488 GT3, no,"0", "01:46.8060", "37.9830", "39.0270", "29.7960",     
"5 ", Ferrari 488 GT3, no,"0", "01:46.4520", "37.6440", "38.9340", "29.8740",     
"6 ", Ferrari 488 GT3, no,"0", "01:46.4910", "38.2320", "38.7480", "29.5110",     
"7 ", Ferrari 488 GT3, no,"0", "01:46.1460", "37.7820", "38.6760", "29.6880",     
"8 ", Ferrari 488 GT3, no,"0", "01:46.4370", "37.5780", "39.1800", "29.6790",     
"9 ", Ferrari 488 GT3, no,"0", "01:45.8040", "37.4640", "38.7840", "29.5560",     
"10 ", Ferrari 488 GT3, no,"0", "-", "-", "-", "-",     
"11 ", Ferrari 488 GT3, no,"0", "-", "-", "-", "-",     
"12 ", Ferrari 488 GT3, no,"0", "01:46.5180", "37.5000", "39.2400", "29.7780",     
Average,,,"01:46.3791", "37.7404", "38.9413", "29.6974"
Best possible,,, "01:45.6510", "37.4640", "38.6760", "29.5110"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Takis Weekes"
"1 ", Lamborghini Huracan Evo 2019, no,"0", "-", "-", "-", "-",     
"2 ", Lamborghini Huracan Evo 2019, no,"0", "-", "-", "-", "-",     
"3 ", Lamborghini Huracan Evo 2019, no,"0", "-", "-", "-", "-",     
"4 ", Lamborghini Huracan Evo 2019, no,"0", "-", "-", "-", "-",     
"5 ", Lamborghini Huracan Evo 2019, no,"0", "-", "-", "-", "-",     
"6 ", Lamborghini Huracan Evo 2019, no,"0", "01:46.7520", "37.9260", "39.2190", "29.6070",     
"7 ", Lamborghini Huracan Evo 2019, no,"0", "-", "-", "-", "-",     
"8 ", Lamborghini Huracan Evo 2019, no,"0", "01:45.9840", "37.5630", "38.7060", "29.7150",     
"9 ", Lamborghini Huracan Evo 2019, no,"0", "-", "-", "-", "-",     
"10 ", Lamborghini Huracan Evo 2019, no,"0", "01:45.8340", "37.3530", "38.7630", "29.7180",     
Average,,,"01:46.1900", "37.6140", "38.8960", "29.6800"
Best possible,,, "01:45.6660", "37.3530", "38.7060", "29.6070"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Robbie Montinola"
"1 ", Ferrari 488 GT3, no,"0", "-", "-", "-", "-",     
"2 ", Ferrari 488 GT3, no,"0", "01:48.5250", "39.2970", "39.2190", "30.0090",     
"3 ", Ferrari 488 GT3, no,"0", "01:47.0130", "37.7640", "39.2130", "30.0360",     
"4 ", Ferrari 488 GT3, no,"0", "-", "-", "-", "-",     
"5 ", Ferrari 488 GT3, no,"0", "01:46.6920", "37.9890", "38.9310", "29.7720",     
"6 ", Ferrari 488 GT3, no,"0", "01:46.4610", "38.0700", "38.8050", "29.5860",     
"7 ", Ferrari 488 GT3, no,"0", "01:46.8390", "37.8960", "38.8980", "30.0450",     
"8 ", Ferrari 488 GT3, no,"0", "01:46.0770", "37.7670", "38.6280", "29.6820",     
"9 ", Ferrari 488 GT3, no,"0", "-", "-", "-", "-",     
"10 ", Ferrari 488 GT3, no,"0", "-", "-", "-", "-",     
"11 ", Ferrari 488 GT3, no,"0", "01:45.9960", "37.8090", "38.4660", "29.7210",     
Average,,,"01:46.8005", "38.0846", "38.8800", "29.8359"
Best possible,,, "01:45.8160", "37.7640", "38.4660", "29.5860"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Tim Brook"
"1 ", Bentley Continental GT3 2018, no,"0", "-", "-", "-", "-",     
"2 ", Bentley Continental GT3 2018, no,"0", "01:47.7030", "37.8960", "39.8970", "29.9100",     
"3 ", Bentley Continental GT3 2018, no,"0", "01:47.4090", "38.0100", "39.4710", "29.9280",     
"4 ", Bentley Continental GT3 2018, no,"0", "01:46.7910", "37.9650", "39.0450", "29.7810",     
"5 ", Bentley Continental GT3 2018, no,"0", "01:46.4670", "37.8750", "38.8710", "29.7210",     
"6 ", Bentley Continental GT3 2018, no,"0", "-", "-", "-", "-",     
"7 ", Bentley Continental GT3 2018, no,"0", "-", "-", "-", "-",     
"8 ", Bentley Continental GT3 2018, no,"0", "-", "-", "-", "-",     
"9 ", Bentley Continental GT3 2018, no,"0", "01:47.5410", "37.9260", "39.6300", "29.9850",     
"10 ", Bentley Continental GT3 2018, no,"0", "-", "-", "-", "-",     
"11 ", Bentley Continental GT3 2018, no,"0", "01:46.0740", "37.7370", "38.9010", "29.4360",     
"12 ", Bentley Continental GT3 2018, no,"0", "01:46.2030", "37.6020", "38.7690", "29.8320",     
Average,,,"01:46.8840", "37.8587", "39.2263", "29.7990"
Best possible,,, "01:45.8070", "37.6020", "38.7690", "29.4360"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Janes Junior"
"1 ", Nissan GT R Nismo GT3 2018, no,"0", "-", "-", "-", "-",     
"2 ", Nissan GT R Nismo GT3 2018, no,"0", "-", "-", "-", "-",     
"3 ", Nissan GT R Nismo GT3 2018, no,"0", "01:47.4570", "37.8690", "39.6330", "29.9550",     
"4 ", Nissan GT R Nismo GT3 2018, no,"0", "-", "-", "-", "-",     
"5 ", Nissan GT R Nismo GT3 2018, no,"0", "01:47.1150", "37.7370", "39.5280", "29.8500",     
"6 ", Nissan GT R Nismo GT3 2018, no,"0", "-", "-", "-", "-",     
