"56",  "59",  "", "", "AMR V8 Vantage 2019", "Rino Di Lauro", "7", "02:06.7320", "00:07.2810",
"57",  "143",  "", "", "Bentley Continental GT3 2018", "Harmon Amakobe", "5", "02:07.0890", "00:07.6380",
"58",  "188",  "", "", "AMR V8 Vantage 2019", "Robert Merlino", "10", "02:07.1760", "00:07.7250",
"59",  "333",  "", "", "Mercedes AMG GT3", "Zach Landry", "2", "02:07.2870", "00:07.8360",
"60",  "73",  "", "", "Porsche 911 II GT3 R 2019", "Conrad Abbott", "2", "-", "-",
"61",  "23",  "", "", "Lexus RC F GT3", "Chris Cusano", "5", "-", "-",
"62",  "8",  "", "", "Porsche 911 II GT3 R 2019", "Guy Cosmo", "3", "-", "-",
"63",  "730",  "", "", "AMR V8 Vantage 2019", "Andreas Specht", "0", "-", "-",
"64",  "431",  "", "", "Audi R8 LMS Evo 2019", "Dan Schneider", "0", "-", "-",

Practice laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Troy Barman"
"1 ", Mercedes AMG GT3, no,"0", "-", "-", "-", "-",     
"2 ", Mercedes AMG GT3, no,"0", "02:00.2760", "40.3980", "53.0940", "26.7840",     
"3 ", Mercedes AMG GT3, no,"0", "02:00.8520", "41.0460", "53.3400", "26.4660",     
"4 ", Mercedes AMG GT3, no,"0", "-", "-", "-", "-",     
"5 ", Mercedes AMG GT3, no,"0", "01:59.7180", "40.1070", "53.0400", "26.5710",     
"6 ", Mercedes AMG GT3, no,"0", "-", "-", "-", "-",     
"7 ", Mercedes AMG GT3, no,"0", "01:59.4510", "39.7680", "53.2560", "26.4270",     
Average,,,"02:00.0743", "40.3298", "53.1825", "26.5620"
Best possible,,, "01:59.2350", "39.7680", "53.0400", "26.4270"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Tomas Lastre"
"1 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"2 ", Porsche 911 II GT3 R 2019, no,"0", "02:01.6050", "40.7400", "53.8170", "27.0480",     
"3 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"4 ", Porsche 911 II GT3 R 2019, no,"0", "02:01.4820", "41.0640", "53.5680", "26.8500",     
"5 ", Porsche 911 II GT3 R 2019, no,"0", "02:01.4340", "40.2600", "53.6940", "27.4800",     
"6 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"7 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"8 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"9 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"10 ", Porsche 911 II GT3 R 2019, no,"0", "02:00.6090", "40.1550", "53.5500", "26.9040",     
Average,,,"02:01.2826", "40.5548", "53.6573", "27.0705"
Best possible,,, "02:00.5550", "40.1550", "53.5500", "26.8500"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Matheus Nolli"
"1 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"2 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"3 ", Porsche 911 II GT3 R 2019, no,"0", "02:01.4970", "40.5600", "53.9430", "26.9940",     
"4 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"5 ", Porsche 911 II GT3 R 2019, no,"0", "02:01.4310", "40.6680", "53.7450", "27.0180",     
"6 ", Porsche 911 II GT3 R 2019, no,"0", "02:00.9360", "40.3620", "53.7270", "26.8470",     
Average,,,"02:01.2880", "40.5300", "53.8050", "26.9530"
Best possible,,, "02:00.9360", "40.3620", "53.7270", "26.8470"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Jon Leigh"
"1 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"2 ", Porsche 911 II GT3 R 2019, no,"0", "02:02.4180", "40.6050", "54.7470", "27.0660",     
"3 ", Porsche 911 II GT3 R 2019, no,"0", "02:01.5990", "40.5270", "53.9970", "27.0750",     
"4 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"5 ", Porsche 911 II GT3 R 2019, no,"0", "02:01.1190", "40.3350", "53.8740", "26.9100",     
"6 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"7 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"8 ", Porsche 911 II GT3 R 2019, no,"0", "02:01.0410", "40.0740", "54.1290", "26.8380",     
"9 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"10 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
Average,,,"02:01.5444", "40.3853", "54.1868", "26.9723"
Best possible,,, "02:00.7860", "40.0740", "53.8740", "26.8380"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Sean Moriarty"
"1 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"2 ", Porsche 911 II GT3 R 2019, no,"0", "02:03.1590", "41.0460", "55.0560", "27.0570",     
"3 ", Porsche 911 II GT3 R 2019, no,"0", "02:02.8350", "41.6400", "54.2700", "26.9250",     
"4 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"5 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"6 ", Porsche 911 II GT3 R 2019, no,"0", "02:01.2060", "40.8120", "53.5740", "26.8200",     
"7 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"8 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
Average,,,"02:02.4000", "41.1660", "54.3000", "26.9340"
Best possible,,, "02:01.2060", "40.8120", "53.5740", "26.8200"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Hamza Gulzar"
"1 ", Mercedes AMG GT3, no,"0", "-", "-", "-", "-",     
"2 ", Mercedes AMG GT3, no,"0", "02:01.6290", "41.2980", "53.5620", "26.7690",     
"3 ", Mercedes AMG GT3, no,"0", "-", "-", "-", "-",     
"4 ", Mercedes AMG GT3, no,"0", "02:01.2210", "40.6710", "53.5830", "26.9670",     
"5 ", Mercedes AMG GT3, no,"0", "-", "-", "-", "-",     
"6 ", Mercedes AMG GT3, no,"0", "-", "-", "-", "-",     
"7 ", Mercedes AMG GT3, no,"0", "02:01.8840", "41.5770", "53.5800", "26.7270",     
"8 ", Mercedes AMG GT3, no,"0", "-", "-", "-", "-",     
Average,,,"02:01.5780", "41.1820", "53.5750", "26.8210"
Best possible,,, "02:00.9600", "40.6710", "53.5620", "26.7270"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Matthew Marlow"
"1 ", AMR V8 Vantage 2019, no,"0", "-", "-", "-", "-",     
"2 ", AMR V8 Vantage 2019, no,"0", "02:03.2580", "41.5350", "54.3150", "27.4080",     
"3 ", AMR V8 Vantage 2019, no,"0", "-", "-", "-", "-",     
"4 ", AMR V8 Vantage 2019, no,"0", "-", "-", "-", "-",     
"5 ", AMR V8 Vantage 2019, no,"0", "02:02.1450", "40.6320", "54.2700", "27.2430",     
"6 ", AMR V8 Vantage 2019, no,"0", "-", "-", "-", "-",     
"7 ", AMR V8 Vantage 2019, no,"0", "02:01.5030", "40.6020", "53.9010", "27.0000",     
Average,,,"02:02.3020", "40.9230", "54.1620", "27.2170"
Best possible,,, "02:01.5030", "40.6020", "53.9010", "27.0000"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Elard Meza"
"1 ", Ferrari 488 GT3, no,"0", "-", "-", "-", "-",     
"2 ", Ferrari 488 GT3, no,"0", "02:03.4200", "41.3010", "54.5160", "27.6030",     
"3 ", Ferrari 488 GT3, no,"0", "02:02.6940", "41.1150", "53.8620", "27.7170",     
"4 ", Ferrari 488 GT3, no,"0", "-", "-", "-", "-",     
"5 ", Ferrari 488 GT3, no,"0", "-", "-", "-", "-",     
"6 ", Ferrari 488 GT3, no,"0", "02:01.6830", "40.8000", "53.7090", "27.1740",     
Average,,,"02:02.5990", "41.0720", "54.0290", "27.4980"
Best possible,,, "02:01.6830", "40.8000", "53.7090", "27.1740"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Chris B"
"1 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"2 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"3 ", Porsche 911 II GT3 R 2019, no,"0", "02:03.5310", "42.0390", "54.2070", "27.2850",     
"4 ", Porsche 911 II GT3 R 2019, no,"0", "02:02.7810", "41.5980", "54.0030", "27.1800",     
"5 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"6 ", Porsche 911 II GT3 R 2019, no,"0", "02:02.4330", "41.2560", "54.1080", "27.0690",     
"7 ", Porsche 911 II GT3 R 2019, no,"0", "02:02.1270", "40.9080", "54.2460", "26.9730",     
"8 ", Porsche 911 II GT3 R 2019, no,"0", "02:01.7250", "40.8720", "53.7780", "27.0750",     
"9 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
Average,,,"02:02.5194", "41.3346", "54.0684", "27.1164"
Best possible,,, "02:01.6230", "40.8720", "53.7780", "26.9730"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Dave Hassar"
"1 ", Mercedes AMG GT3, no,"0", "-", "-", "-", "-",     
"2 ", Mercedes AMG GT3, no,"0", "-", "-", "-", "-",     
"3 ", Mercedes AMG GT3, no,"0", "02:04.9710", "41.2170", "54.6150", "29.1390",     
"4 ", Mercedes AMG GT3, no,"0", "-", "-", "-", "-",     
"5 ", Mercedes AMG GT3, no,"0", "-", "-", "-", "-",     
"6 ", Mercedes AMG GT3, no,"0", "-", "-", "-", "-",     
"7 ", Mercedes AMG GT3, no,"0", "02:01.7340", "40.9200", "54.0000", "26.8140",     
"8 ", Mercedes AMG GT3, no,"0", "-", "-", "-", "-",     
Average,,,"02:03.3525", "41.0685", "54.3075", "27.9765"
Best possible,,, "02:01.7340", "40.9200", "54.0000", "26.8140"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Drake Burgoon"
"1 ", AMR V8 Vantage 2019, no,"0", "-", "-", "-", "-",     
"2 ", AMR V8 Vantage 2019, no,"0", "-", "-", "-", "-",     
"3 ", AMR V8 Vantage 2019, no,"0", "02:02.6250", "40.8720", "54.3540", "27.3990",     
"4 ", AMR V8 Vantage 2019, no,"0", "02:01.7520", "40.8540", "53.6910", "27.2070",     
"5 ", AMR V8 Vantage 2019, no,"0", "-", "-", "-", "-",     
"6 ", AMR V8 Vantage 2019, no,"0", "02:02.8410", "41.0790", "54.7050", "27.0570",     
"7 ", AMR V8 Vantage 2019, no,"0", "02:05.6640", "41.3430", "57.1620", "27.1590",     
Average,,,"02:03.2205", "41.0370", "54.9780", "27.2055"
Best possible,,, "02:01.6020", "40.8540", "53.6910", "27.0570"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Greg Hall"
"1 ", Mercedes AMG GT3, no,"0", "-", "-", "-", "-",     
"2 ", Mercedes AMG GT3, no,"0", "02:04.6380", "41.1060", "56.1600", "27.3720",     
"3 ", Mercedes AMG GT3, no,"0", "02:01.8660", "40.7760", "53.9190", "27.1710",     
"4 ", Mercedes AMG GT3, no,"0", "-", "-", "-", "-",     
"5 ", Mercedes AMG GT3, no,"0", "-", "-", "-", "-",     
"6 ", Mercedes AMG GT3, no,"0", "-", "-", "-", "-",     
"7 ", Mercedes AMG GT3, no,"0", "-", "-", "-", "-",     
"8 ", Mercedes AMG GT3, no,"0", "02:01.8120", "40.7490", "53.6160", "27.4470",     
Average,,,"02:02.7720", "40.8770", "54.5650", "27.3300"
Best possible,,, "02:01.5360", "40.7490", "53.6160", "27.1710"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Branden Ouellet"
"1 ", Lamborghini Huracan Evo 2019, no,"0", "-", "-", "-", "-",     
"2 ", Lamborghini Huracan Evo 2019, no,"0", "02:02.5290", "41.4810", "54.0690", "26.9790",     
"3 ", Lamborghini Huracan Evo 2019, no,"0", "02:01.9320", "40.9890", "54.0330", "26.9100",     
"4 ", Lamborghini Huracan Evo 2019, no,"0", "-", "-", "-", "-",     
"5 ", Lamborghini Huracan Evo 2019, no,"0", "02:02.8770", "41.4960", "54.4440", "26.9370",     
"6 ", Lamborghini Huracan Evo 2019, no,"0", "-", "-", "-", "-",     
"7 ", Lamborghini Huracan Evo 2019, no,"0", "-", "-", "-", "-",     
"8 ", Lamborghini Huracan Evo 2019, no,"0", "-", "-", "-", "-",     
"9 ", Lamborghini Huracan Evo 2019, no,"0", "02:02.7450", "41.3790", "54.3120", "27.0540",     
Average,,,"02:02.5208", "41.3363", "54.2145", "26.9700"
Best possible,,, "02:01.9320", "40.9890", "54.0330", "26.9100"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Tadas Liutkus"
"1 ", Honda NSX Evo 2019 , no,"0", "-", "-", "-", "-",     
"2 ", Honda NSX Evo 2019 , no,"0", "02:05.2440", "41.7540", "54.6360", "28.8540",     
"3 ", Honda NSX Evo 2019 , no,"0", "02:04.8660", "42.1020", "54.6300", "28.1340",     
"4 ", Honda NSX Evo 2019 , no,"0", "02:03.6750", "41.5890", "54.6960", "27.3900",     
"5 ", Honda NSX Evo 2019 , no,"0", "02:03.4740", "41.6910", "54.6180", "27.1650",     
"6 ", Honda NSX Evo 2019 , no,"0", "-", "-", "-", "-",     
"7 ", Honda NSX Evo 2019 , no,"0", "-", "-", "-", "-",     
"8 ", Honda NSX Evo 2019 , no,"0", "-", "-", "-", "-",     
"9 ", Honda NSX Evo 2019 , no,"0", "02:01.9950", "40.9440", "54.0450", "27.0060",     
Average,,,"02:03.8508", "41.6160", "54.5250", "27.7098"
Best possible,,, "02:01.9950", "40.9440", "54.0450", "27.0060"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Matheus Freitas"
"1 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"2 ", Porsche 911 II GT3 R 2019, no,"0", "-", "-", "-", "-",     
"3 ", Porsche 911 II GT3 R 2019, no,"0", "02:02.0880", "40.7370", "54.1950", "27.1560",     
Average,,,"02:02.0880", "40.7370", "54.1950", "27.1560"
Best possible,,, "02:02.0880", "40.7370", "54.1950", "27.1560"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Robbie Montinola"
"1 ", Ferrari 488 GT3, no,"0", "-", "-", "-", "-",     
"2 ", Ferrari 488 GT3, no,"0", "-", "-", "-", "-",     
"3 ", Ferrari 488 GT3, no,"0", "02:02.9790", "41.2380", "54.6480", "27.0930",     
"4 ", Ferrari 488 GT3, no,"0", "-", "-", "-", "-",     
"5 ", Ferrari 488 GT3, no,"0", "-", "-", "-", "-",     
"6 ", Ferrari 488 GT3, no,"0", "-", "-", "-", "-",     
"7 ", Ferrari 488 GT3, no,"0", "-", "-", "-", "-",     
"8 ", Ferrari 488 GT3, no,"0", "02:02.1240", "40.8330", "54.4530", "26.8380",     
Average,,,"02:02.5515", "41.0355", "54.5505", "26.9655"
Best possible,,, "02:02.1240", "40.8330", "54.4530", "26.8380"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Fabio Pittol"
"1 ", Lamborghini Huracan Evo 2019, no,"0", "-", "-", "-", "-",     
"2 ", Lamborghini Huracan Evo 2019, no,"0", "02:12.3360", "42.0540", "56.2470", "34.0350",     
"3 ", Lamborghini Huracan Evo 2019, no,"0", "02:02.8050", "41.4300", "54.3510", "27.0240",     
"4 ", Lamborghini Huracan Evo 2019, no,"0", "02:03.9420", "41.7660", "54.9210", "27.2550",     
"5 ", Lamborghini Huracan Evo 2019, no,"0", "-", "-", "-", "-",     
"6 ", Lamborghini Huracan Evo 2019, no,"0", "02:02.1360", "41.1720", "54.0600", "26.9040",     
"7 ", Lamborghini Huracan Evo 2019, no,"0", "02:02.8200", "41.0520", "54.1110", "27.6570",     
Average,,,"02:04.8078", "41.4948", "54.7380", "28.5750"
Best possible,,, "02:02.0160", "41.0520", "54.0600", "26.9040"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Barry Blocker"
"1 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
"2 ", Lexus RC F GT3, no,"0", "02:04.3140", "41.9040", "54.7920", "27.6180",     
"3 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
"4 ", Lexus RC F GT3, no,"0", "02:03.7560", "41.5110", "54.7410", "27.5040",     
"5 ", Lexus RC F GT3, no,"0", "02:04.9560", "41.2200", "55.1910", "28.5450",     
"6 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
"7 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
"8 ", Lexus RC F GT3, no,"0", "02:02.4990", "40.8450", "54.2250", "27.4290",     
"9 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
"10 ", Lexus RC F GT3, no,"0", "02:02.1630", "40.8330", "54.3510", "26.9790",     
"11 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
Average,,,"02:03.5376", "41.2626", "54.6600", "27.6150"
Best possible,,, "02:02.0370", "40.8330", "54.2250", "26.9790"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Keith Briscoe"
"1 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
"2 ", Lexus RC F GT3, no,"0", "02:04.0980", "41.1960", "55.5870", "27.3150",     
"3 ", Lexus RC F GT3, no,"0", "02:03.9690", "41.5020", "55.0440", "27.4230",     
"4 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
"5 ", Lexus RC F GT3, no,"0", "02:04.2270", "41.6130", "55.3020", "27.3120",     
"6 ", Lexus RC F GT3, no,"0", "02:03.6090", "41.4900", "54.7860", "27.3330",     
"7 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
"8 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
"9 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
"10 ", Lexus RC F GT3, no,"0", "-", "-", "-", "-",     
"11 ", Lexus RC F GT3, no,"0", "02:02.6160", "41.2410", "54.2160", "27.1590",     
"12 ", Lexus RC F GT3, no,"0", "02:02.1750", "40.9620", "54.0480", "27.1650",     
Average,,,"02:03.4490", "41.3340", "54.8305", "27.2845"
Best possible,,, "02:02.1690", "40.9620", "54.0480", "27.1590"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Josh Staffin"
"1 ", Honda NSX Evo 2019 , no,"0", "-", "-", "-", "-",     
"2 ", Honda NSX Evo 2019 , no,"0", "02:02.7240", "41.1960", "54.4530", "27.0750",     
"3 ", Honda NSX Evo 2019 , no,"0", "02:02.2710", "41.0400", "54.2490", "26.9820",     
"4 ", Honda NSX Evo 2019 , no,"0", "-", "-", "-", "-",     
"5 ", Honda NSX Evo 2019 , no,"0", "02:02.1990", "40.9770", "54.2490", "26.9730",     
"6 ", Honda NSX Evo 2019 , no,"0", "-", "-", "-", "-",     
"7 ", Honda NSX Evo 2019 , no,"0", "02:02.3160", "41.1060", "54.2670", "26.9430",     
"8 ", Honda NSX Evo 2019 , no,"0", "02:02.3070", "41.2440", "54.1290", "26.9340",     
Average,,,"02:02.3634", "41.1126", "54.2694", "26.9814"
Best possible,,, "02:02.0400", "40.9770", "54.1290", "26.9340"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Grant Klinsing"
"1 ", AMR V8 Vantage 2019, no,"0", "-", "-", "-", "-",     
"2 ", AMR V8 Vantage 2019, no,"0", "02:03.2760", "40.8570", "54.7050", "27.7140",     
"3 ", AMR V8 Vantage 2019, no,"0", "02:04.3440", "41.7840", "54.9420", "27.6180",     
"4 ", AMR V8 Vantage 2019, no,"0", "02:07.2120", "42.6360", "55.9950", "28.5810",     
"5 ", AMR V8 Vantage 2019, no,"0", "-", "-", "-", "-",     
"6 ", AMR V8 Vantage 2019, no,"0", "-", "-", "-", "-",     
"7 ", AMR V8 Vantage 2019, no,"0", "02:03.4230", "40.8390", "54.5310", "28.0530",     
"8 ", AMR V8 Vantage 2019, no,"0", "-", "-", "-", "-",     
"9 ", AMR V8 Vantage 2019, no,"0", "-", "-", "-", "-",     
"10 ", AMR V8 Vantage 2019, no,"0", "02:02.4360", "40.9170", "54.4680", "27.0510",     
"11 ", AMR V8 Vantage 2019, no,"0", "02:02.2140", "40.8660", "54.2790", "27.0690",     
Average,,,"02:03.8175", "41.3165", "54.8200", "27.6810"
Best possible,,, "02:02.1690", "40.8390", "54.2790", "27.0510"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"JT Tami"
